,age,policy_number,policy_csl,insured_zip,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,auto_year,fraud_reported,policy_bind_year,policy_bind_month,policy_bind_day,policy_bind_dow,incident_year,incident_month,incident_day,incident_dow,policy_state_IN,policy_state_OH,insured_sex_MALE,insured_education_level_College,insured_education_level_High School,insured_education_level_JD,insured_education_level_MD,insured_education_level_Masters,insured_education_level_PhD,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_hobbies_basketball,insured_hobbies_board-games,insured_hobbies_bungie-jumping,insured_hobbies_camping,insured_hobbies_chess,insured_hobbies_cross-fit,insured_hobbies_dancing,insured_hobbies_exercise,insured_hobbies_golf,insured_hobbies_hiking,insured_hobbies_kayaking,insured_hobbies_movies,insured_hobbies_paintball,insured_hobbies_polo,insured_hobbies_reading,insured_hobbies_skydiving,insured_hobbies_sleeping,insured_hobbies_video-games,insured_hobbies_yachting,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,incident_state_NY,incident_state_OH,incident_state_PA,incident_state_SC,incident_state_VA,incident_state_WV,incident_city_Columbus,incident_city_Hillsdale,incident_city_Northbend,incident_city_Northbrook,incident_city_Riverwood,incident_city_Springfield,property_damage_YES,police_report_available_YES,auto_make_Audi,auto_make_BMW,auto_make_Chevrolet,auto_make_Dodge,auto_make_Ford,auto_make_Honda,auto_make_Jeep,auto_make_Mercedes,auto_make_Nissan,auto_make_Saab,auto_make_Suburu,auto_make_Toyota,auto_make_Volkswagen,auto_model_92x,auto_model_93,auto_model_95,auto_model_A3,auto_model_A5,auto_model_Accord,auto_model_C300,auto_model_CRV,auto_model_Camry,auto_model_Civic,auto_model_Corolla,auto_model_E400,auto_model_Escape,auto_model_F150,auto_model_Forrestor,auto_model_Fusion,auto_model_Grand Cherokee,auto_model_Highlander,auto_model_Impreza,auto_model_Jetta,auto_model_Legacy,auto_model_M5,auto_model_MDX,auto_model_ML350,auto_model_Malibu,auto_model_Maxima,auto_model_Neon,auto_model_Passat,auto_model_Pathfinder,auto_model_RAM,auto_model_RSX,auto_model_Silverado,auto_model_TL,auto_model_Tahoe,auto_model_Ultima,auto_model_Wrangler,auto_model_X5,auto_model_X6,premium_per_vehicle,total_claim_amount_per_vehicle,age_group_19-25,age_group_26-35,age_group_36-45,age_group_46-55,age_group_56-65,age_group_65+,months_as_customer^2,months_as_customer policy_deductable,months_as_customer policy_annual_premium,months_as_customer umbrella_limit,months_as_customer capital-gains,months_as_customer capital-loss,months_as_customer total_claim_amount,months_as_customer injury_claim,months_as_customer property_claim,months_as_customer vehicle_claim,months_as_customer days_between_policy_and_incident,policy_deductable^2,policy_deductable policy_annual_premium,policy_deductable umbrella_limit,policy_deductable capital-gains,policy_deductable capital-loss,policy_deductable total_claim_amount,policy_deductable injury_claim,policy_deductable property_claim,policy_deductable vehicle_claim,policy_deductable days_between_policy_and_incident,policy_annual_premium^2,policy_annual_premium umbrella_limit,policy_annual_premium capital-gains,policy_annual_premium capital-loss,policy_annual_premium total_claim_amount,policy_annual_premium injury_claim,policy_annual_premium property_claim,policy_annual_premium vehicle_claim,policy_annual_premium days_between_policy_and_incident,umbrella_limit^2,umbrella_limit capital-gains,umbrella_limit capital-loss,umbrella_limit total_claim_amount,umbrella_limit injury_claim,umbrella_limit property_claim,umbrella_limit vehicle_claim,umbrella_limit days_between_policy_and_incident,capital-gains^2,capital-gains capital-loss,capital-gains total_claim_amount,capital-gains injury_claim,capital-gains property_claim,capital-gains vehicle_claim,capital-gains days_between_policy_and_incident,capital-loss^2,capital-loss total_claim_amount,capital-loss injury_claim,capital-loss property_claim,capital-loss vehicle_claim,capital-loss days_between_policy_and_incident,total_claim_amount^2,total_claim_amount injury_claim,total_claim_amount property_claim,total_claim_amount vehicle_claim,total_claim_amount days_between_policy_and_incident,injury_claim^2,injury_claim property_claim,injury_claim vehicle_claim,injury_claim days_between_policy_and_incident,property_claim^2,property_claim vehicle_claim,property_claim days_between_policy_and_incident,vehicle_claim^2,vehicle_claim days_between_policy_and_incident,days_between_policy_and_incident^2
0,48.0,521585,750,466132,9935 4th Drive,5,1,1,2,2004,Y,2014,10,17,4,2015,1,25,6,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.249861614220443,11.179003972433575,0,0,0,1,0,0,107584.0,328000.0,2377.954609464305,0.0,17482400.0,0.0,3666.713302958213,2880.2494533016907,3107.576539415023,3562.262196760052,32800.0,1000000.0,7249.861614220443,0.0,53300000.0,0.0,11179.003972433575,8781.248333236861,9474.31871772873,10860.555477926988,100000.0,52.56049342534704,0.0,386417.6240379496,0.0,81.04623178496402,63.662835216071166,68.68749959255175,78.73752426853443,724.9861614220442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840890000.0,0.0,595840.9117307096,468040.5361615247,504981.1876549412,578867.6069735085,5330000.0,0.0,0.0,0.0,0.0,0.0,0.0,124.97012981568565,98.16561000018059,105.91344658159123,121.41019283058102,1117.9003972433575,77.11032228997516,83.1963454486102,95.36923468857283,878.1248333236862,89.76271516510494,102.89636404945495,947.4318717728728,117.95166528912992,1086.055547792699,10000.0
1,42.0,342868,750,468176,6608 MLK Hwy,8,1,0,0,2007,Y,2006,6,27,1,2015,1,21,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0885924012147425,8.531293315795018,0,0,1,0,0,0,51984.0,456000.0,1616.1990674769613,1140000000.0,0.0,0.0,1945.1348760012643,1518.6111341634485,1518.6111341634485,1861.3136081664027,713640.0,4000000.0,14177.184802429485,10000000000.0,0.0,0.0,17062.58663159004,13321.150299679372,13321.150299679372,16327.312352336865,6260000.0,50.24814223055939,35442962.00607371,0.0,0.0,60.474860970878694,47.21410239487334,47.21410239487334,57.86883113651735,22187.294215802143,25000000000000.0,0.0,0.0,42656466.57897509,33302875.74919843,33302875.74919843,40818280.880842164,15650000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.78296564012877,56.82332025517772,56.82332025517772,69.64654536819447,26702.948078438407,44.363261326661956,44.363261326661956,54.374645458822734,20847.600218998217,44.363261326661956,54.374645458822734,20847.600218998217,66.645282162693,25552.24383140719,9796900.0
2,29.0,687698,400,430632,7121 Francis Lane,7,3,2,3,2007,N,2000,9,6,2,2015,2,22,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.4180922838187837,3.4843606214101555,0,1,0,0,0,0,17956.0,268000.0,972.0730980951511,670000000.0,4703400.0,0.0,1400.7129698068825,1199.1801329182595,1106.315809931198,1346.3825788725692,707788.0,4000000.0,14508.553702912703,10000000000.0,70200000.0,0.0,20906.16372846093,17898.2109390785,16512.17626762982,20095.262371232377,10564000.0,52.62453263757548,36271384.25728176,254625.11748611793,0.0,75.82954979406527,64.91928864892,59.891949032716965,72.88829832178645,38317.09032939245,25000000000000.0,175500000000.0,0.0,52265409.32115233,44745527.347696245,41280440.66907455,50238155.92808094,26410000000.0,1232010000.0,0.0,366903.17343448935,314113.60198082763,289788.69349690335,352671.8546151282,185398200.0,0.0,0.0,0.0,0.0,0.0,0.0,109.26692046030388,93.5457320847264,86.30156514106898,105.02871132484103,55213.17840686532,80.08648870493731,73.8846034753211,89.91731119911097,47269.17509010631,68.16299127331935,82.95412860451444,43608.657522810354,100.95489244216697,53071.587922424704,27899524.0
3,41.0,227811,750,608117,6956 Maple Drive,5,1,1,2,2014,Y,1990,5,25,4,2015,1,10,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.256113736616489,11.05723491317159,0,0,1,0,0,0,65536.0,512000.0,1857.5651165738211,1536000000.0,12518400.0,-15974400.0,2830.652137771927,2241.226691507208,2241.226691507208,2773.5283980812997,2302976.0,4000000.0,14512.227473232977,12000000000.0,97800000.0,-124800000.0,22114.46982634318,17509.583527400064,17509.583527400064,21668.190610010155,17992000.0,52.6511865587145,43536682.41969893,354823.9617205463,-452781.4971648689,80.23255414245979,63.5257647778007,63.5257647778007,78.61342776645955,65275.99917460193,36000000000000.0,293400000000.0,-374400000000.0,66343409.479029536,52528750.58220019,52528750.58220019,65004571.83003046,53976000000.0,2391210000.0,-3051360000.0,540698.7872540908,428109.3172449316,428109.3172449316,529787.2604147482,439904400.0,3893760000.0,-689971.4585819072,-546299.006054882,-546299.006054882,-676047.5470323168,-561350400.0,122.26244392506072,96.80378914713107,96.80378914713107,119.79513685913054,99470.88527889161,76.64637882574992,76.64637882574992,94.85024834339963,78758.10670624548,76.64637882574992,94.85024834339963,78758.10670624548,117.37762107793304,97463.52136382567,80928016.0
4,44.0,367455,1500,610706,3041 3rd Ave,20,1,0,1,2009,N,2014,6,6,4,2015,2,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.368282902364818,8.77971129020447,0,0,1,0,0,0,51984.0,228000.0,1679.9685017391785,1368000000.0,15048000.0,-10488000.0,2001.7741741666189,1634.9625731008512,1477.1001984235536,1920.4673171077943,58368.0,1000000.0,7368.282902364818,6000000000.0,66000000.0,-46000000.0,8779.71129020447,7170.888478512505,6478.509642208569,8423.102268016642,256000.0,54.29159292928171,44209697.41418891,486306.671556078,-338941.0135087816,64.69139658731295,52.83713497098856,47.73549182949101,62.06380042629735,1886.2804230053935,36000000000000.0,396000000000.0,-276000000000.0,52678267.741226815,43025330.87107503,38871057.85325141,50538613.60809985,1536000000.0,4356000000.0,-3036000000.0,579460.945153495,473278.6395818253,427581.63638576557,555924.7496890983,16896000.0,2116000000.0,-403866.71934940555,-329860.8700115752,-298011.44354159414,-387462.7043287655,-11776000.0,77.08333033934383,62.95833053559339,56.87944424939709,73.95240608105259,2247.606090292344,51.421641571263386,46.456670151245596,60.401127007053084,1835.7474504992012,41.9710871841894,54.569149260654676,1658.4984684053936,70.9486518174671,2156.3141806122603,65536.0
5,39.0,104594,750,478456,8973 Washington St,19,3,0,2,2003,Y,2006,10,12,3,2015,1,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4031380727882374,3.6894050811370325,0,0,1,0,0,0,65536.0,256000.0,1845.6100399013662,0.0,0.0,0.0,2833.463102313241,2244.0372592607378,2244.0372592607378,2776.339351599218,769024.0,1000000.0,7209.414218364712,0.0,0.0,0.0,11068.215243411098,8765.770543987257,8765.770543987257,10845.075592184445,3004000.0,51.97565337195927,0.0,0.0,0.0,79.795348347769,63.1960707947443,63.1960707947443,78.18664217353464,21657.080311967595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.50538867447779,97.02143515520375,97.02143515520375,120.03563098536151,33248.91859120694,76.83873322983465,76.83873322983465,95.06544417328557,26332.37471413772,76.83873322983465,95.06544417328557,26332.37471413772,117.61566460019479,32578.607078922072,9024016.0
6,34.0,413978,750,441716,5846 Weaver Drive,0,3,0,0,2012,N,2000,6,4,6,2015,1,13,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.398733186959494,3.7575918743212546,0,1,0,0,0,0,18769.0,137000.0,985.879339840352,0.0,0.0,-10549000.0,1544.3702603460356,1366.3731364343062,1215.8760255886302,1482.4492937452335,731032.0,1000000.0,7196.199560878483,0.0,0.0,-77000000.0,11272.775622963763,9973.526543316102,8875.007486048396,10820.797764563747,5336000.0,51.78528811998766,0.0,0.0,-554107.3661876431,81.12114298785349,71.77148733142123,63.86632497389471,77.8686201217085,38398.92085684758,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,5929000000.0,-868003.7229682098,-767961.54383534,-683375.5764257265,-833201.4278714086,-410872000.0,127.07547024568606,112.42932689247581,100.04596804234727,121.980425261395,60151.530724134645,99.47123171023085,88.5151227342328,107.9215137247321,53218.73763513473,78.76575787741507,96.03466116551901,47357.03994555424,117.08966426158781,57739.77687171216,28472896.0
7,37.0,429027,400,603195,3525 3rd Hwy,23,3,2,2,2015,N,1990,2,3,5,2015,2,27,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3456846587924893,3.61703417255077,0,0,1,0,0,0,27225.0,165000.0,1161.1139061022823,0.0,0.0,0.0,1790.431915412631,1509.1628716107818,1509.1628716107818,1715.856197546191,1510575.0,1000000.0,7037.053976377468,0.0,0.0,0.0,10851.102517652309,9146.44164612595,9146.44164612595,10399.128469976915,9155000.0,49.520128666449935,0.0,0.0,0.0,76.35979411992474,64.3640035555751,64.3640035555751,73.17922835051118,64424.229153735716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.7464258486003,99.24897597383723,99.24897597383723,112.84200912195631,99341.8435491069,83.65739478598718,83.65739478598718,95.1150217212109,83735.67327028308,83.65739478598718,95.1150217212109,83735.67327028308,108.14187293508442,95204.02114263867,83814025.0
8,33.0,485665,400,601734,4872 Rock Ridge,21,1,1,1,2012,N,1997,2,5,2,2015,1,30,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.275165394221036,10.229223792606835,0,1,0,0,0,0,729.0,13500.0,196.42946564396797,0.0,0.0,0.0,276.18904240038455,214.0280157113004,214.0280157113004,270.16441018731484,177336.0,250000.0,3637.582697110518,0.0,0.0,0.0,5114.611896303417,3963.4817724314894,3963.4817724314894,5003.044633098423,3284000.0,52.92803151327132,0.0,0.0,0.0,74.4192949457157,57.66997086283885,57.66997086283885,72.79595436092185,47783.28630924376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.63701939923375,81.0866840962394,81.0866840962394,102.35452639272864,67185.54186984169,62.83675104158664,62.83675104158664,79.31790483978716,52064.29656266004,62.83675104158664,79.31790483978716,52064.29656266004,100.12182240309976,65719.99430038089,43138624.0
9,42.0,636550,400,600983,3066 Francis Ave,14,1,2,1,1996,N,2011,7,25,0,2015,1,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.182868695758063,10.652566005416872,0,0,1,0,0,0,44944.0,106000.0,1522.7681635007093,0.0,0.0,-8331600.0,2258.343993148377,1792.5724725771158,1792.5724725771158,2205.0667662628034,267120.0,250000.0,3591.4343478790315,0.0,0.0,-19650000.0,5326.2830027084365,4227.7652655120655,4227.7652655120655,5200.629165714159,630000.0,51.59360270050114,0.0,0.0,-282286.73974329187,76.51598288980537,60.73496555731978,60.73496555731978,74.71087286530921,9050.41455665516,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1544490000.0,-418645.8440128831,-332302.34986924834,-332302.34986924834,-408769.4524251329,-49518000.0,113.47716249976318,90.07309709255213,90.07309709255213,110.80009091493233,13422.23316682526,71.49599656108123,71.49599656108123,87.94815738246125,10653.968469090405,71.49599656108123,87.94815738246125,10653.968469090405,108.18617487710699,13105.58549759968,1587600.0
